,company,comp_id
481,"АО ""Газпром газораспределение Саратовская область""",8706
482,"ОАО Э и Э ""Ростовэнергоремонт""",19816
483,"АО ""Тула-Лихвинское ХПП""",20822
484,"ОАО ""Молком""",10220
485,"ПАО ""Радиофизика""",10041
486,"ПАО ""МТС-Банк""",1285
487,"АО ""Омречпорт""",29709
488,"ПАО ""Электромеханика""",3977
489,"ЗАО ""Ипотечный агент МТСБ""",34046
490,"ОАО завод ""Пролетарская свобода""",2040
491,"АО ""НГПИ""",3035
492,"ОАО ""КОЛЕСП""",23327
493,"ПАО ""НК ""Роснефть"" - МЗ ""Нефтепродукт""",29848
494,"АО ""Радуга""",36226
495,"ОАО ""Чкаловское ДРСУ""",19421
496,"АО ""Сокольская судоверфь""",27344
497,"АО ТГК ""Измайлово""",9547
498,"ПАО ""ЧКПЗ""",3306
499,"ПАО ""Евразийский банк""",8865
500,"ОАО ""Товары для народа""",20615
501,"ЗАО ""АГАТ""",37516
502,"АО ""НИИ ТМ""",1500
503,"ОАО ""Тверьпродторг""",19965
504,"ПАО ""Гипротюменнефтегаз""",12013
505,ПАО “Северный текстиль”,4360
506,"АО ""Краснодаргазстрой""",13986
507,"ОАО ""ДСА""",24286
508,"ОАО ""Эпром""",1347
509,"ПАО СМУ  ""Жуковскстрой""",1957
510,"АО ""МОЛОКО""",6763
511,"ОАО ""КАРАВАЙ""",3081
512,"АО ""Кушелевский хлебозавод""",14892
513,"АО ""КОМЗ-Байгыш""",27506
514,"АО ""СвердНИИхиммаш""",14153
515,ООО МФК «КарМани»,37028
516,"АО ""АШ-СУ""",5917
517,"ПАО ""Электроприбор""",3109
518,АО «ТПГК-Финанс»,33085
519,"АО ""Новосибирскэнергосбыт""",15824
520,"AO ""Агрофирма ""Феникс""",30609
521,"ООО ""ИКС 5 ФИНАНС""",9483
522,"АО ""ПО ""Бежицкая сталь""",18056
523,"АО ФЦ ""Народный""",5134
524,"АО ""Мелькомбинат №4""",18938
525,ООО «Л Си Пи Инвестор Сервисез»,35599
526,"ПАО ""АК БАРС"" БАНК",1479
527,"ПАО ""Передвижная энергетика""",7389
528,ОАО РС серного завода,26440
529,"АО ""Завод КПД-2""",13433
530,"АО ""Гипроспецгаз""",380
531,ООО «СФО «СБ Структурные продукты»,37415
532,"ПАО ""ФосАгро""",573
533,"АО ""Электроавтомат""",5225
534,"АО Уфимский завод ""Электроаппарат""",10281
535,МОРСКОЙ БАНК (АО),2255
536,"ПАО ""Птицефабрика ""Боровская""",486
537,"ПАО ""Линейный""",20386
538,"ПАО ""Сигнал""",9804
539,ООО «Обувь России»,37530
540,"ПАО ""СЭС""",5292
541,"АО ""КБАЛ им. Л.Н.Кошкина""",11828
542,"АО ""КМПО""",2574
543,"АО ""Сорбент""",11765
544,"ПАО ""Высочайший""",8394
545,"ООО ""Дядя Дёнер""",37311
546,"ОАО ""Чурачикское""",27896
547,"ОАО ""АМФ""",5046
548,"АО ""Мордовский элеватор""",11682
549,"ПАО ""Земля-инвест""",9989
550,"ПАО ""АКИБАНК""",1118
551,"АО ""Пуринвест""",474
552,"АО ""Вознесенская РЭБ флота""",24536
553,"ОАО ""НЗРА""",14089
554,"ОАО ""Чувашхмельпром""",16459
555,"ЗАО ""Восточно - Сибирский ипотечный агент 2012""",33613
556,ЗАО «ИА АкБарс»,34768
557,"ОАО ""ПКТФ ""Чувашбыттехсервис""",26621
558,"ПАО ""НЗК""",4530
559,"АО ""Нефтекамский хлебокомбинат""",13055
560,"ПАО ""Донтрансавто""",12163
561,"ВАО ""Русская Березка""",14485
562,"ОАО ""Алмаз""",23477
563,"ООО ""Электрощит-Стройсистема""",37681
564,"ООО ""РКТ""",38011
565,"ОАО ""Павловопосадская платочная мануфактура""",3086
566,"АО ""ГК ""Жемчужина""",13667
567,"ПАО ""ПНППК""",14292
568,"ОАО ""Лебедяньавто""",14238
569,"АО ""Электроагрегат""",3205
570,"АО  ""Белар""",14457
571,"ОАО ""Воронежская кондитерская фабрика""",3315
572,"ОАО ""ЦНПО ""Ленинец""",7538
573,"ОАО ""Биохиммаш""",34673
574,"АО ""СФЕРА ЖИЛЬЯ""",29320
575,"ОАО ""ТВЭКС""",3410
576,ОАО «Империал»,9205
577,"АО АПРИ ""Флай Плэнинг""",37277
578,"АО ""Лента""",4240
579,"АО ""ЯАПП""",7612
580,"ПАО ""Роствертол""",3654
581,"ОАО ""Тюменнефтекомплектсервис""",4386
582,АО АТП-1 «ОАПСТ»,13246
583,"ОАО ""НИИсантехники""",36802
584,"ПАО ""Строймаш""",1895
585,"ООО НПП ""Моторные технологии""",37964
586,"АО ""СК ""Эпрон-8""",37022
587,"СПАО ""Ингосстрах""",119
588,"ОАО ""Вурнарская ИПС""",12500
589,"ОАО ""Птицестрой""",21613
590,"АО ""БГАТП №3""",21066
591,"ОАО ""Юрьев-Польскийсельхозхимия""",37712
592,"ОАО ""ТАКФ""",2161
593,"АО ""Энергоцентр""",9828
594,"ОАО ""БЗЖБИ""",7951
595,"ЗАО ""СИГМА-ГАЗ""",5835
596,"ГУП ""ЖКХ РС(Я)""",33834
597,"ОАО ""ЛЗЖБИ""",8418
598,"ЗАО ""Сыркомбинат ""Тихорецкий""",8853
599,"АО ""Теплосеть"" г. Невинномысск",27568
600,"ОАО ""НИИ Электромера""",899
